epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5016,0.63192,1.95428,1.07339,0.97202,0.12453,0.15255,0.13144,0.79255,2.16864,1.07019,0.000364262,0.000364262,0.000364262
2,24.4982,0.59812,1.14216,1.03744,0.86693,0.23995,0.27511,0.20006,0.6419,1.51368,0.98121,0.000698233,0.000698233,0.000698233
3,33.4927,0.57951,1.04032,1.02902,0.70657,0.29243,0.28919,0.20984,0.702,1.21428,1.06679,0.000995541,0.000995541,0.000995541
4,43.5199,0.58517,0.97139,1.04069,0.55932,0.32335,0.30895,0.22233,0.68959,1.01438,1.01955,0.000946016,0.000946016,0.000946016
5,53.1629,0.56418,0.87331,1.01023,0.53694,0.33635,0.32874,0.23426,0.6741,0.95188,1.0173,0.000891022,0.000891022,0.000891022
6,63.3502,0.54697,0.83228,1.01655,0.76319,0.3216,0.33605,0.23756,0.65748,0.88864,1.03267,0.000836027,0.000836027,0.000836027
7,72.1192,0.53354,0.79263,1.00334,0.32266,0.39451,0.33759,0.24059,0.62701,0.85545,0.96807,0.000781033,0.000781033,0.000781033
8,80.9415,0.52381,0.74773,1.00242,0.38922,0.41334,0.3654,0.2511,0.66378,0.84624,1.00091,0.000726038,0.000726038,0.000726038
9,91.3091,0.52043,0.73295,0.99807,0.39649,0.39221,0.36758,0.25751,0.60194,0.79694,0.96464,0.000671044,0.000671044,0.000671044
10,100.405,0.49717,0.70968,0.99315,0.47759,0.36298,0.3782,0.25661,0.62341,0.80428,0.97767,0.000616049,0.000616049,0.000616049
11,112.209,0.55416,0.91106,0.99636,0.39572,0.40776,0.35984,0.24884,0.61027,0.82043,0.97543,0.000561055,0.000561055,0.000561055
12,120.058,0.56437,0.85099,1.00751,0.42129,0.38627,0.36097,0.25265,0.63153,0.79003,0.96658,0.00050606,0.00050606,0.00050606
13,128.7,0.54285,0.8318,0.99966,0.37895,0.42854,0.37639,0.25487,0.61537,0.80793,0.98071,0.000451066,0.000451066,0.000451066
14,137.311,0.52471,0.77178,0.98232,0.40256,0.4025,0.39493,0.2695,0.60121,0.80059,0.95202,0.000396071,0.000396071,0.000396071
15,151.978,0.51695,0.74482,0.981,0.42745,0.42072,0.39594,0.27486,0.60078,0.77064,0.95486,0.000341077,0.000341077,0.000341077
16,161.171,0.51658,0.74586,0.97969,0.42607,0.41371,0.39637,0.2739,0.60374,0.76354,0.95707,0.000286083,0.000286083,0.000286083
17,170.272,0.49482,0.69725,0.96757,0.44936,0.40299,0.40749,0.27661,0.58853,0.74158,0.93625,0.000231088,0.000231088,0.000231088
18,178.968,0.48743,0.67407,0.96495,0.43168,0.42748,0.41246,0.2759,0.59809,0.76057,0.94501,0.000176094,0.000176094,0.000176094
19,187.646,0.47112,0.65974,0.95747,0.42273,0.42984,0.41618,0.28273,0.5676,0.7249,0.92205,0.000121099,0.000121099,0.000121099
20,197.055,0.46393,0.654,0.96172,0.43547,0.44024,0.41812,0.2892,0.56602,0.71705,0.92372,6.61045e-05,6.61045e-05,6.61045e-05
