epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4626,0.57192,1.371,1.03041,0.74799,0.31397,0.31575,0.23223,0.62063,1.07243,0.96171,0.000364262,0.000364262,0.000364262
2,31.8683,0.55306,0.79162,1.01296,0.62555,0.34987,0.35706,0.2568,0.59287,1.17468,0.93187,0.000698233,0.000698233,0.000698233
3,47.6556,0.56022,0.74391,1.01698,0.30852,0.2918,0.30568,0.21822,0.66975,0.97288,1.01395,0.000995541,0.000995541,0.000995541
4,59.8127,0.57236,0.74559,1.02708,0.62038,0.38107,0.36475,0.25615,0.62234,0.91331,0.97491,0.000946016,0.000946016,0.000946016
5,71.7189,0.54476,0.65354,0.99289,0.56192,0.37552,0.35922,0.2542,0.61326,0.81598,0.97761,0.000891022,0.000891022,0.000891022
6,84.8614,0.51955,0.60741,0.99467,0.59032,0.39805,0.38001,0.27201,0.63783,0.7247,0.98299,0.000836027,0.000836027,0.000836027
7,96.8033,0.51588,0.59449,0.98834,0.64919,0.41231,0.39096,0.27338,0.61044,0.75012,0.9577,0.000781033,0.000781033,0.000781033
8,110.34,0.49607,0.55552,0.98752,0.60535,0.42536,0.40928,0.28642,0.58312,0.75207,0.93803,0.000726038,0.000726038,0.000726038
9,123.242,0.49324,0.5626,0.98474,0.40059,0.40064,0.39315,0.2727,0.6025,0.75939,0.97128,0.000671044,0.000671044,0.000671044
10,134.424,0.47465,0.55231,0.97663,0.44171,0.3943,0.39918,0.2897,0.58677,0.7606,0.9509,0.000616049,0.000616049,0.000616049
11,148.363,0.52675,0.65018,0.97119,0.38074,0.45634,0.3974,0.28242,0.60998,0.81179,0.9641,0.000561055,0.000561055,0.000561055
12,163.998,0.52695,0.63863,0.97503,0.65774,0.40142,0.41913,0.29393,0.58611,0.70367,0.9259,0.00050606,0.00050606,0.00050606
13,176.96,0.50765,0.60124,0.96935,0.44243,0.4035,0.41801,0.31011,0.58782,0.77742,0.95397,0.000451066,0.000451066,0.000451066
14,188.848,0.48797,0.53778,0.95284,0.4863,0.42029,0.43415,0.31474,0.58305,0.74949,0.93586,0.000396071,0.000396071,0.000396071
15,200.747,0.47935,0.52779,0.9487,0.59687,0.39723,0.45151,0.31796,0.59761,0.72262,0.93539,0.000341077,0.000341077,0.000341077
16,215.061,0.4772,0.52914,0.94893,0.47175,0.43744,0.44594,0.3366,0.56146,0.72709,0.90567,0.000286083,0.000286083,0.000286083
17,228.48,0.45264,0.4963,0.93934,0.53993,0.40941,0.43495,0.31819,0.56134,0.70742,0.91735,0.000231088,0.000231088,0.000231088
18,242.717,0.44688,0.47123,0.93457,0.5175,0.44488,0.44864,0.32456,0.57518,0.73355,0.9319,0.000176094,0.000176094,0.000176094
19,260.598,0.4333,0.43727,0.92836,0.53012,0.41194,0.44185,0.32698,0.54697,0.72077,0.90427,0.000121099,0.000121099,0.000121099
20,274.981,0.42163,0.42835,0.92814,0.49082,0.45976,0.44783,0.33145,0.54648,0.72881,0.901,6.61045e-05,6.61045e-05,6.61045e-05
