epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8082,0.54988,1.38158,1.03295,0.75598,0.34107,0.34614,0.24547,0.61151,1.49851,1.0609,0.000364262,0.000364262,0.000364262
2,39.4803,0.57592,0.81035,1.03927,0.53512,0.33804,0.32825,0.20664,0.73099,2.69091,1.15224,0.000698233,0.000698233,0.000698233
3,57.5622,0.57245,0.73406,1.03839,0.25526,0.37602,0.27672,0.19922,0.67457,5.52282,1.09188,0.000995541,0.000995541,0.000995541
4,76.4482,0.59221,0.74755,1.04936,0.29082,0.39349,0.35618,0.23912,0.64342,1.52608,1.05667,0.000946016,0.000946016,0.000946016
5,94.8775,0.54365,0.64687,1.00966,0.60931,0.41734,0.37263,0.24548,0.66757,0.88624,1.05116,0.000891022,0.000891022,0.000891022
6,115.107,0.52549,0.60546,1.00877,0.61862,0.44967,0.41376,0.27107,0.64716,0.78336,1.00704,0.000836027,0.000836027,0.000836027
7,132.375,0.522,0.59739,1.00759,0.43908,0.4223,0.39957,0.28621,0.6068,0.79216,0.97457,0.000781033,0.000781033,0.000781033
8,151.9,0.4902,0.55295,0.99258,0.70222,0.38086,0.41044,0.2832,0.62953,0.76215,1.00052,0.000726038,0.000726038,0.000726038
9,171.205,0.48376,0.55465,0.98687,0.45832,0.42224,0.41804,0.29672,0.59786,0.75179,0.98793,0.000671044,0.000671044,0.000671044
10,191.494,0.46917,0.52854,0.98798,0.40806,0.44783,0.41585,0.29213,0.59757,0.7031,0.98339,0.000616049,0.000616049,0.000616049
11,211.321,0.51721,0.6305,0.98744,0.47708,0.41105,0.42397,0.30017,0.58799,0.80106,0.95398,0.000561055,0.000561055,0.000561055
12,232.541,0.52884,0.62307,0.9886,0.66313,0.41051,0.41878,0.28837,0.59001,0.72481,0.95866,0.00050606,0.00050606,0.00050606
13,252.046,0.49577,0.5741,0.98577,0.47771,0.48181,0.4601,0.31802,0.56669,0.7341,0.94734,0.000451066,0.000451066,0.000451066
14,270.915,0.47469,0.52557,0.97123,0.47714,0.48627,0.45728,0.31823,0.56625,0.68787,0.9369,0.000396071,0.000396071,0.000396071
15,292.58,0.46386,0.52057,0.96479,0.5943,0.46155,0.46992,0.3278,0.57315,0.70241,0.95514,0.000341077,0.000341077,0.000341077
16,312.208,0.45823,0.49662,0.95667,0.57185,0.40289,0.44493,0.31962,0.54538,0.73171,0.9123,0.000286083,0.000286083,0.000286083
17,330.143,0.43893,0.4708,0.94755,0.49306,0.47817,0.45481,0.32875,0.53909,0.66509,0.91495,0.000231088,0.000231088,0.000231088
18,347.905,0.42878,0.44037,0.93853,0.50381,0.48241,0.45738,0.33095,0.55425,0.71818,0.91767,0.000176094,0.000176094,0.000176094
19,366.425,0.41565,0.40159,0.93477,0.49759,0.48669,0.47441,0.3475,0.51057,0.68374,0.8898,0.000121099,0.000121099,0.000121099
20,387.661,0.39457,0.39258,0.92934,0.53302,0.46459,0.48377,0.3522,0.51147,0.68574,0.89609,6.61045e-05,6.61045e-05,6.61045e-05
