epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7124,2.18759,3.87016,1.54323,0.36262,0.49194,0.3668,0.16089,1.86276,2.2798,1.50174,0.000540231,0.000540231,0.000540231
2,20.9669,1.82024,1.90735,1.35888,0.09556,0.39572,0.08898,0.0473,1.6352,34.8172,1.52298,0.00104165,0.00104165,0.00104165
3,31.9545,1.84756,1.60895,1.38243,0.56094,0.48135,0.47867,0.20076,1.8833,2.29894,1.6103,0.00148806,0.00148806,0.00148806
4,42.2335,1.80321,1.54991,1.35115,0.34869,0.55364,0.35928,0.18512,1.71931,40.4202,1.4575,0.00141945,0.00141945,0.00141945
5,52.0763,1.74261,1.51146,1.3512,0.66673,0.53334,0.62666,0.30076,1.74771,1.58566,1.48439,0.00133693,0.00133693,0.00133693
6,61.2703,1.71457,1.43267,1.34965,0.71871,0.67487,0.70186,0.32874,1.69895,1.34921,1.40393,0.00125442,0.00125442,0.00125442
7,71.8746,1.64054,1.27321,1.26978,0.67149,0.63344,0.6452,0.30292,1.67903,1.43714,1.38329,0.0011719,0.0011719,0.0011719
8,81.8455,1.70672,1.33047,1.29658,0.59668,0.64713,0.65263,0.3245,1.67716,1.38066,1.372,0.00108938,0.00108938,0.00108938
9,91.5007,1.62916,1.31442,1.29414,0.64823,0.60736,0.65111,0.30164,1.70515,1.40417,1.38822,0.00100687,0.00100687,0.00100687
10,101.055,1.6233,1.27178,1.27509,0.6914,0.60034,0.66563,0.31769,1.7501,1.34433,1.41189,0.000924352,0.000924352,0.000924352
11,111.438,1.55341,1.25063,1.32476,0.76389,0.63222,0.71019,0.35353,1.65992,1.25086,1.37089,0.000841835,0.000841835,0.000841835
12,120.827,1.52478,1.1317,1.28468,0.7646,0.72815,0.76189,0.37645,1.66542,1.20097,1.36724,0.000759318,0.000759318,0.000759318
13,130.097,1.51147,1.11383,1.27178,0.70761,0.67489,0.71516,0.34936,1.66002,1.28897,1.35803,0.000676802,0.000676802,0.000676802
14,138.975,1.44921,1.08318,1.25594,0.67398,0.71565,0.72763,0.36589,1.63667,1.19641,1.36005,0.000594286,0.000594286,0.000594286
15,148.583,1.4981,1.03484,1.26621,0.76985,0.6947,0.73694,0.36851,1.67443,1.17338,1.34637,0.000511769,0.000511769,0.000511769
16,158.67,1.43219,0.99777,1.24304,0.74902,0.70566,0.74962,0.38143,1.614,1.13466,1.33683,0.000429253,0.000429253,0.000429253
17,168.742,1.43678,0.97674,1.25221,0.80476,0.72272,0.76637,0.3984,1.6171,1.13858,1.34949,0.000346736,0.000346736,0.000346736
18,177.959,1.40526,0.91644,1.23478,0.73391,0.70055,0.72782,0.36822,1.67805,1.17262,1.3642,0.00026422,0.00026422,0.00026422
19,186.749,1.34755,0.88895,1.20249,0.78384,0.70209,0.75395,0.39484,1.62653,1.11115,1.34416,0.000181703,0.000181703,0.000181703
20,195.881,1.35533,0.86718,1.19232,0.76646,0.70615,0.76549,0.39637,1.64814,1.08579,1.35527,9.91865e-05,9.91865e-05,9.91865e-05
